date,total_precipitation,temperature_2m,soil_moisture_layer1,solar_radiation,basin
2015-03-12,5.3647103,16.060318,0.22652454674243927,109662.45,ganges_farakka
2015-03-13,14.852972,16.67018,0.22856880724430084,104325.87,ganges_farakka
2015-03-14,41.171986,16.565493,0.24166996777057648,96878.08,ganges_farakka
2015-03-15,96.53422,15.610803,0.27760037779808044,83724.13,ganges_farakka
2015-03-16,46.5972,15.415755,0.2823887765407562,94021.55,ganges_farakka
2015-03-17,5.9647565,15.734387,0.2706531286239624,110008.86,ganges_farakka
2015-03-18,5.0342727,15.1412735,0.2573702037334442,113101.51,ganges_farakka
2015-03-19,1.8622826,15.469401,0.2459917515516281,119841.62,ganges_farakka
2015-03-20,0.95545834,16.84715,0.23606514930725098,120651.37,ganges_farakka
2015-03-21,1.9625484,18.056103,0.22751940786838531,120154.94,ganges_farakka
2015-03-22,1.3008729,19.302862,0.21982593834400177,120411.555,ganges_farakka
2015-03-23,4.245936,19.903986,0.21368186175823212,118428.445,ganges_farakka
2015-03-24,4.7433457,20.460945,0.20902270078659058,119890.64,ganges_farakka
2015-03-25,4.3917007,21.0483,0.205166295170784,119216.83,ganges_farakka
2015-03-26,7.3939705,21.495897,0.20299190282821655,113985.664,ganges_farakka
2015-03-27,27.169048,21.04345,0.21162892878055573,110108.27,ganges_farakka
2015-03-28,21.692585,21.305319,0.21793104708194733,115456.75,ganges_farakka
2015-03-29,22.82653,21.240705,0.21882982552051544,100846.76,ganges_farakka
2015-03-30,102.494385,18.788404,0.24809426069259644,86644.125,ganges_farakka
2015-03-31,12.0684595,19.071627,0.24543936550617218,114550.27,ganges_farakka
2015-04-01,8.923799,20.352781,0.23500217497348785,116644.07,ganges_farakka
2015-04-02,13.39332,21.163889,0.22887234389781952,120528.984,ganges_farakka
2015-04-03,45.53817,20.666416,0.23252588510513306,112090.08,ganges_farakka
2015-04-04,46.808907,19.355991,0.24048753082752228,105552.46,ganges_farakka
2015-04-05,17.574583,19.106813,0.235443115234375,113244.52,ganges_farakka
2015-04-06,9.486421,19.42577,0.22956936061382294,119014.59,ganges_farakka
2015-04-07,28.550364,19.539593,0.23085390031337738,113652.4,ganges_farakka
2015-04-08,13.659641,19.796934,0.22837978601455688,121331.52,ganges_farakka
2015-04-09,3.2506819,20.235514,0.2199734002351761,128844.29,ganges_farakka
2015-04-10,1.713861,21.181368,0.21133174002170563,130880.07,ganges_farakka
2015-04-11,15.62044,21.245707,0.21062739193439484,122356.3,ganges_farakka
2015-04-12,62.805298,18.89039,0.24071072041988373,94792.07,ganges_farakka
2015-04-13,67.49418,18.708162,0.2725469172000885,99252.01,ganges_farakka
2015-04-14,33.04895,19.338192,0.2781296372413635,107355.29,ganges_farakka
2015-04-15,29.172121,19.99342,0.2729859948158264,111066.45,ganges_farakka
2015-04-16,14.486929,20.952496,0.2631865441799164,119136.21,ganges_farakka
2015-04-17,18.908096,21.62246,0.25339916348457336,124229.96,ganges_farakka
2015-04-18,13.876835,22.593561,0.24433533847332,125045.26,ganges_farakka
2015-04-19,2.8102727,24.28588,0.22989557683467865,130644.016,ganges_farakka
2015-04-20,7.108577,24.279211,0.2207617312669754,124108.4,ganges_farakka
2015-04-21,8.606491,24.259735,0.2135934680700302,127382.875,ganges_farakka
2015-04-22,7.248097,23.898798,0.20710420608520508,130122.61,ganges_farakka
2015-04-23,10.691939,23.53595,0.20284627377986908,128646.19,ganges_farakka
2015-04-24,29.998346,23.090384,0.20851701498031616,125189.695,ganges_farakka
2015-04-25,40.42742,22.233597,0.21921499073505402,118995.63,ganges_farakka
2015-04-26,30.885208,21.963034,0.2247799038887024,119689.4,ganges_farakka
2015-04-27,16.904291,23.032084,0.22489137947559357,124667.95,ganges_farakka
2015-04-28,34.486908,23.047968,0.2303282469511032,124484.695,ganges_farakka
2015-04-29,23.28431,23.01589,0.22983039915561676,124233.41,ganges_farakka
2015-04-30,12.7365,23.728668,0.22419510781764984,129707.96,ganges_farakka
2015-05-01,9.778058,23.892883,0.21853667497634888,132693.69,ganges_farakka
2015-05-02,11.62537,23.80026,0.21347717940807343,130433.28,ganges_farakka
2015-05-03,6.1376324,24.040049,0.2081405371427536,134086.45,ganges_farakka
2015-05-04,2.7048347,24.484312,0.20236003398895264,137061.06,ganges_farakka
2015-05-05,2.7249105,25.168097,0.19711202383041382,138031.22,ganges_farakka
2015-05-06,5.2609158,25.631973,0.19371150434017181,135455.94,ganges_farakka
2015-05-07,9.3296385,26.082144,0.19311584532260895,135247.08,ganges_farakka
2015-05-08,4.260385,26.209612,0.1917869597673416,133493.27,ganges_farakka
2015-05-09,9.712585,26.154066,0.19207383692264557,127906.22,ganges_farakka
2015-05-10,13.498186,26.13265,0.19430138170719147,125432.29,ganges_farakka
2015-05-11,17.733765,25.863626,0.19868098199367523,121535.96,ganges_farakka
2015-05-12,15.901689,25.423578,0.20109643042087555,126260.25,ganges_farakka
2015-05-13,20.545788,25.340662,0.20420576632022858,125309.73,ganges_farakka
2015-05-14,14.488807,25.30342,0.20603875815868378,118813.19,ganges_farakka
2015-05-15,25.76991,25.340033,0.2098628282546997,120684.6,ganges_farakka
2015-05-16,31.26306,25.141474,0.2170627862215042,121344.29,ganges_farakka
2015-05-17,19.3887,26.019888,0.21966798603534698,129461.72,ganges_farakka
2015-05-18,19.431051,26.906158,0.21734248101711273,128006.21,ganges_farakka
2015-05-19,12.201786,27.126055,0.21444153785705566,127607.21,ganges_farakka
2015-05-20,10.3029995,26.97087,0.2084609717130661,129010.12,ganges_farakka
2015-05-21,9.079051,27.549866,0.20248211920261383,134323.36,ganges_farakka
2015-05-22,4.905693,27.927519,0.1958300620317459,137182.06,ganges_farakka
2015-05-23,7.0167217,27.825083,0.1910438984632492,135318.36,ganges_farakka
2015-05-24,7.8929043,27.833786,0.1884133368730545,133757.86,ganges_farakka
2015-05-25,8.648745,27.9148,0.18709056079387665,134741.38,ganges_farakka
2015-05-26,12.917769,27.44368,0.18722866475582123,130645.24,ganges_farakka
2015-05-27,13.596523,27.161146,0.18794703483581543,132583.9,ganges_farakka
2015-05-28,11.348398,27.422104,0.18654055893421173,132317.5,ganges_farakka
2015-05-29,10.731125,28.146011,0.18457598984241486,130858.69,ganges_farakka
2015-05-30,13.144109,28.159433,0.18393142521381378,129525.45,ganges_farakka
2015-05-31,15.881194,27.826935,0.18484388291835785,127035.125,ganges_farakka
2015-06-01,16.68668,27.07164,0.18666517734527588,127635.56,ganges_farakka
2015-06-02,16.925436,26.452677,0.18967224657535553,126039.65,ganges_farakka
2015-06-03,13.371929,26.428514,0.19114269316196442,125687.96,ganges_farakka
2015-06-04,17.248825,26.426718,0.19369608163833618,121151.5,ganges_farakka
2015-06-05,12.140844,27.234129,0.19244690239429474,125638.72,ganges_farakka
2015-06-06,8.15028,27.83821,0.18799342215061188,127797.28,ganges_farakka
2015-06-07,6.59119,28.460867,0.18362677097320557,130059.375,ganges_farakka
2015-06-08,6.7618275,28.965708,0.1805144101381302,126695.15,ganges_farakka
2015-06-09,12.816739,28.686071,0.18005037307739258,120792.41,ganges_farakka
2015-06-10,17.786655,28.51187,0.18184895813465118,123764.734,ganges_farakka
2015-06-11,42.105415,27.15476,0.19437752664089203,114746.84,ganges_farakka
2015-06-12,76.82013,25.980692,0.2297164350748062,105596.66,ganges_farakka
2015-06-13,95.15247,24.962366,0.2617959678173065,99205.51,ganges_farakka
2015-06-14,88.86169,24.145498,0.27626654505729675,101194.29,ganges_farakka
2015-06-15,50.816475,24.68751,0.2760467827320099,107569.93,ganges_farakka
2015-06-16,33.861805,25.270407,0.27011364698410034,108457.23,ganges_farakka
2015-06-17,27.085665,26.031647,0.2604990303516388,111080.35,ganges_farakka
2015-06-18,26.979832,26.638504,0.25411805510520935,111580.77,ganges_farakka
2015-06-19,41.718636,26.825592,0.2532677948474884,108909.95,ganges_farakka
2015-06-20,46.326,26.679245,0.25512585043907166,107258.34,ganges_farakka
2015-06-21,61.127335,26.18881,0.2611136734485626,106671.734,ganges_farakka
2015-06-22,103.05144,25.273367,0.2747257649898529,92225.47,ganges_farakka
2015-06-23,93.11637,25.004639,0.2888861894607544,87334.55,ganges_farakka
2015-06-24,142.36493,24.365404,0.3172900974750519,86139.42,ganges_farakka
2015-06-25,210.53758,23.247305,0.35237908363342285,61357.324,ganges_farakka
2015-06-26,106.358505,24.27891,0.34027934074401855,86747.5,ganges_farakka
2015-06-27,105.160576,24.600616,0.33217692375183105,92945.836,ganges_farakka
2015-06-28,130.46513,24.398438,0.33330926299095154,84809.36,ganges_farakka
